year,state,question,category,group,value
2020,Tennessee,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",17.2
2020,Tennessee,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",33.0
2020,Oregon,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",28.8
2020,Tennessee,Depression among adults,Age,Age >=65,17.8
2020,New York,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",16.4
2020,North Dakota,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",44.3
2020,North Carolina,Average mentally unhealthy days among adults,Sex,Female,2.6
2020,New York,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",13.4
2020,South Dakota,Depression among adults,Sex,Female,23.0
2020,Puerto Rico,Depression among adults,Race/Ethnicity,Hispanic,15.4
2020,Pennsylvania,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,Hispanic,9.8
2020,Pennsylvania,Frequent mental distress among adults,Overall,Overall,15.1
2020,North Dakota,Frequent mental distress among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",19.1
2020,North Dakota,Frequent mental distress among adults,Sex,Female,14.2
2020,Oklahoma,Frequent mental distress among adults,Overall,Overall,15.9
2020,Pennsylvania,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",19.1
2020,Rhode Island,Average mentally unhealthy days among adults,Race/Ethnicity,"Multiracial, non-Hispanic",0.0
2020,New York,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.9
2020,Oklahoma,Depression among adults,Age,Age 45-64,25.5
2020,South Dakota,Frequent mental distress among adults,Overall,Overall,9.8
2020,North Carolina,Depression among adults,Sex,Female,26.6
2020,South Dakota,Frequent mental distress among adults,Age,Age 45-64,7.8
2020,South Carolina,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",14.5
2020,South Carolina,Frequent mental distress among adults,Age,Age 45-64,15.4
2020,South Carolina,Depression among adults,Age,Age >=65,15.4
2020,Rhode Island,Frequent mental distress among adults,Sex,Female,16.5
2020,North Dakota,Depression among adults,Age,Age >=65,10.4
2020,Oklahoma,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",20.9
2020,Ohio,Frequent mental distress among adults,Race/Ethnicity,Hispanic,20.6
2020,South Carolina,Depression among adults,Race/Ethnicity,Hispanic,15.6
2020,New York,Average mentally unhealthy days among adults,Age,Age >=65,2.0
2020,Tennessee,Depression among adults,Sex,Male,16.7
2020,South Dakota,Frequent mental distress among adults,Sex,Male,6.8
2020,South Dakota,Depression among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",20.8
2020,Oregon,Average mentally unhealthy days among adults,Sex,Male,2.5
2020,Oregon,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",15.4
2020,Ohio,Depression among adults,Sex,Male,15.8
2020,Rhode Island,Depression among adults,Overall,Overall,21.6
2020,North Carolina,Frequent mental distress among adults,Age,Age 18-44,15.4
2020,Tennessee,Frequent mental distress among adults,Age,Age >=65,8.1
2020,Oklahoma,Frequent mental distress among adults,Sex,Female,19.2
2020,New York,Frequent mental distress among adults,Overall,Overall,13.1
2020,Rhode Island,Depression among adults,Sex,Male,16.3
2020,New York,Depression among adults,Sex,Female,19.4
2020,Tennessee,Frequent mental distress among adults,Sex,Male,14.2
2020,Oregon,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",16.2
2020,Pennsylvania,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",33.2
2020,Puerto Rico,Depression among adults,Sex,Female,17.6
2020,South Dakota,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",20.6
2020,South Dakota,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Black, non-Hispanic",21.9
2020,North Carolina,Average mentally unhealthy days among adults,Overall,Overall,2.6
2020,Oklahoma,Average mentally unhealthy days among adults,Sex,Male,2.9
2020,Oklahoma,Depression among adults,Sex,Female,30.2
2020,New York,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Asian, non-Hispanic",10.5
2020,Pennsylvania,Depression among adults,Overall,Overall,20.2
2020,Oregon,Postpartum depressive symptoms among women with a recent live birth,Overall,Overall,15.7
2020,New York,Average mentally unhealthy days among adults,Sex,Male,2.8
2020,Ohio,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.9
2020,New York,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",14.3
2020,Pennsylvania,Depression among adults,Race/Ethnicity,Hispanic,28.3
2020,Tennessee,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Black, non-Hispanic",18.6
2020,North Carolina,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",34.7
2020,Oklahoma,Average mentally unhealthy days among adults,Age,Age >=65,2.3
2020,Oregon,Frequent mental distress among adults,Age,Age 18-44,17.3
2020,New York,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",15.3
2020,South Dakota,Average mentally unhealthy days among adults,Sex,Male,3.0
2020,North Dakota,Average mentally unhealthy days among adults,Age,Age >=65,1.9
2020,Oregon,Frequent mental distress among adults,Overall,Overall,14.3
2020,Oklahoma,Frequent mental distress among adults,Race/Ethnicity,Hispanic,9.1
2020,Oklahoma,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.8
2020,Oklahoma,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",22.0
2020,Oregon,Depression among adults,Overall,Overall,21.2
2020,North Carolina,Depression among adults,Age,Age 18-44,21.3
2020,New York,Average mentally unhealthy days among adults,Overall,Overall,2.6
2020,Ohio,Depression among adults,Race/Ethnicity,"White, non-Hispanic",22.4
2020,North Dakota,Frequent mental distress among adults,Sex,Female,14.6
2020,North Carolina,Average mentally unhealthy days among adults,Race/Ethnicity,"Black, non-Hispanic",2.6
2020,New York,Average mentally unhealthy days among adults,Race/Ethnicity,"Asian, non-Hispanic",3.8
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",19.3
2020,South Dakota,Depression among adults,Age,Age 45-64,15.0
2020,New York,Average mentally unhealthy days among adults,Sex,Male,2.8
2020,North Dakota,Depression among adults,Race/Ethnicity,Hispanic,24.7
2020,South Dakota,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Multiracial, non-Hispanic",23.0
2020,Ohio,Depression among adults,Age,Age 18-44,26.0
2020,Oregon,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Black, non-Hispanic",22.9
2020,Pennsylvania,Depression among adults,Sex,Female,26.1
2020,Tennessee,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.3
2020,Ohio,Average mentally unhealthy days among adults,Sex,Male,2.7
2020,New York,Frequent mental distress among adults,Race/Ethnicity,Hispanic,13.3
2020,Rhode Island,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",14.6
2020,South Carolina,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.1
2020,New York,Depression among adults,Sex,Male,13.9
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",14.7
2020,South Dakota,Depression among adults,Race/Ethnicity,"White, non-Hispanic",15.9
2020,North Dakota,Depression among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",24.7
2020,Oklahoma,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",24.5
2020,South Dakota,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",9.9
2020,Pennsylvania,Depression among adults,Race/Ethnicity,"White, non-Hispanic",21.1
2020,North Carolina,Average mentally unhealthy days among adults,Overall,Overall,2.6
2020,Tennessee,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.4
2020,Rhode Island,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",30.9
2020,Tennessee,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",14.1
2020,Pennsylvania,Frequent mental distress among adults,Overall,Overall,14.2
2020,Oregon,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",3.0
2020,Ohio,Frequent mental distress among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",22.8
2020,Puerto Rico,Frequent mental distress among adults,Overall,Overall,11.0
2020,Puerto Rico,Frequent mental distress among adults,Age,Age 45-64,14.7
2020,South Carolina,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",15.0
2020,Rhode Island,Average mentally unhealthy days among adults,Age,Age 45-64,2.1
2020,Oregon,Depression among adults,Race/Ethnicity,"Asian, non-Hispanic",10.8
2020,Puerto Rico,Depression among adults,Age,Age 18-44,9.5
2020,South Dakota,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",3.1
2020,Oklahoma,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",29.0
2020,North Dakota,Average mentally unhealthy days among adults,Sex,Male,2.8
2020,Tennessee,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",38.1
2020,Ohio,Depression among adults,Race/Ethnicity,Hispanic,27.2
2020,Pennsylvania,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",15.3
2020,Tennessee,Depression among adults,Overall,Overall,24.4
2020,New York,Frequent mental distress among adults,Sex,Male,10.5
2020,South Dakota,Average mentally unhealthy days among adults,Overall,Overall,2.9
2020,Puerto Rico,Frequent mental distress among adults,Sex,Male,9.2
2020,Pennsylvania,Average mentally unhealthy days among adults,Age,Age 18-44,3.3
2020,North Dakota,Depression among adults,Sex,Male,13.4
2020,Ohio,Frequent mental distress among adults,Sex,Male,12.2
2020,Oregon,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"White, non-Hispanic",16.4
2020,South Carolina,Average mentally unhealthy days among adults,Race/Ethnicity,"Black, non-Hispanic",3.2
2020,Tennessee,Frequent mental distress among adults,Race/Ethnicity,Hispanic,16.9
2020,Pennsylvania,Depression among adults,Age,Age 18-44,24.2
2020,Rhode Island,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.6
2020,Rhode Island,Frequent mental distress among adults,Age,Age >=65,7.4
2020,Oklahoma,Frequent mental distress among adults,Age,Age >=65,9.6
2020,North Dakota,Depression among adults,Sex,Male,13.6
2020,South Carolina,Average mentally unhealthy days among adults,Sex,Male,2.4
2020,South Carolina,Frequent mental distress among adults,Race/Ethnicity,Hispanic,13.0
2020,Rhode Island,Average mentally unhealthy days among adults,Race/Ethnicity,"Multiracial, non-Hispanic",0.0
2020,Pennsylvania,Frequent mental distress among adults,Sex,Male,11.6
2020,Tennessee,Average mentally unhealthy days among adults,Sex,Male,2.6
2020,Oklahoma,Frequent mental distress among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",18.3
2020,Oregon,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",20.8
2020,Oklahoma,Frequent mental distress among adults,Sex,Female,19.9
2020,Puerto Rico,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,Hispanic,11.0
2020,South Carolina,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",16.0
2020,South Carolina,Depression among adults,Overall,Overall,21.7
2020,North Carolina,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.8
2020,North Dakota,Average mentally unhealthy days among adults,Age,Age 18-44,3.6
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",23.9
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,Hispanic,6.8
2020,South Carolina,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",39.7
2020,North Dakota,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",3.6
2020,South Dakota,Depression among adults,Sex,Female,22.1
2020,Ohio,Average mentally unhealthy days among adults,Age,Age 45-64,2.7
2020,Oregon,Frequent mental distress among adults,Sex,Male,10.3
2020,Pennsylvania,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Multiracial, non-Hispanic",20.1
2020,South Carolina,Average mentally unhealthy days among adults,Overall,Overall,2.6
2020,Oregon,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Multiracial, non-Hispanic",16.0
2020,Rhode Island,Depression among adults,Age,Age 45-64,21.4
2020,Rhode Island,Frequent mental distress among adults,Sex,Female,15.6
2020,New York,Frequent mental distress among adults,Race/Ethnicity,"Asian, non-Hispanic",11.6
2020,Tennessee,Frequent mental distress among adults,Sex,Female,17.9
2020,Tennessee,Depression among adults,Race/Ethnicity,"White, non-Hispanic",25.1
2020,Pennsylvania,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",35.3
2020,Oregon,Average mentally unhealthy days among adults,Overall,Overall,2.8
2020,South Dakota,Frequent mental distress among adults,Age,Age 18-44,12.6
2020,Oregon,Frequent mental distress among adults,Age,Age 45-64,12.6
2020,North Carolina,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",33.8
2020,Oregon,Depression among adults,Race/Ethnicity,"White, non-Hispanic",21.7
2020,North Dakota,Depression among adults,Race/Ethnicity,"White, non-Hispanic",18.9
2020,New York,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",16.9
2020,Rhode Island,Frequent mental distress among adults,Overall,Overall,13.8
2020,New York,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"White, non-Hispanic",8.0
2020,North Carolina,Depression among adults,Overall,Overall,20.9
2020,South Dakota,Depression among adults,Overall,Overall,16.1
2020,North Carolina,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",16.7
2020,Oklahoma,Average mentally unhealthy days among adults,Overall,Overall,2.9
2020,Tennessee,Frequent mental distress among adults,Overall,Overall,16.1
2020,Pennsylvania,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",18.8
2020,Pennsylvania,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",13.6
2020,North Dakota,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,Hispanic,25.8
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",13.8
2020,South Carolina,Frequent mental distress among adults,Overall,Overall,15.5
2020,New York,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",16.7
2020,Ohio,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",15.2
2020,South Dakota,Postpartum depressive symptoms among women with a recent live birth,Overall,Overall,12.6
2020,Rhode Island,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",11.3
2020,Tennessee,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",21.2
2020,South Carolina,Average mentally unhealthy days among adults,Age,Age >=65,1.8
2020,Pennsylvania,Depression among adults,Sex,Female,27.4
2020,North Carolina,Frequent mental distress among adults,Age,Age >=65,8.2
2020,Ohio,Average mentally unhealthy days among adults,Sex,Female,2.8
2020,Oklahoma,Depression among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",24.9
2020,Oregon,Depression among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",17.8
2020,New York,Frequent mental distress among adults,Overall,Overall,12.7
2020,South Dakota,Average mentally unhealthy days among adults,Sex,Female,2.7
2020,Pennsylvania,Frequent mental distress among adults,Age,Age >=65,7.9
2020,New York,Depression among adults,Sex,Female,19.5
2020,Rhode Island,Average mentally unhealthy days among adults,Age,Age >=65,1.7
2020,Oregon,Depression among adults,Sex,Male,15.1
2020,North Dakota,Depression among adults,Age,Age 18-44,23.0
2020,North Carolina,Frequent mental distress among adults,Sex,Male,10.2
2020,North Dakota,Frequent mental distress among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",22.9
2020,North Carolina,Depression among adults,Age,Age >=65,18.7
2020,Oregon,Average mentally unhealthy days among adults,Sex,Male,2.5
2020,Rhode Island,Depression among adults,Sex,Female,26.6
2020,Tennessee,Depression among adults,Sex,Male,16.5
2020,Oregon,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",13.8
2020,South Dakota,Frequent mental distress among adults,Sex,Male,6.8
2020,Washington,Depression among adults,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",21.0
2020,New York,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"Black, non-Hispanic",13.9
2020,Ohio,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",15.2
2020,Rhode Island,Average mentally unhealthy days among adults,Sex,Female,2.8
2020,South Dakota,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",9.3
2020,North Carolina,Frequent mental distress among adults,Sex,Male,10.1
2020,South Dakota,Depression among adults,Race/Ethnicity,"White, non-Hispanic",16.3
2020,North Dakota,Depression among adults,Overall,Overall,19.2
2020,South Carolina,Average mentally unhealthy days among adults,Sex,Male,2.5
2020,Ohio,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",21.0
2020,Oregon,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",3.0
2020,Tennessee,Average mentally unhealthy days among adults,Sex,Female,2.7
2020,New York,Frequent mental distress among adults,Sex,Female,14.7
2020,Pennsylvania,Average mentally unhealthy days among adults,Sex,Female,3.6
2020,North Dakota,Frequent mental distress among adults,Overall,Overall,11.3
2020,New York,Depression among adults,Age,Age 45-64,15.3
2020,South Carolina,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",16.3
2020,South Dakota,Average mentally unhealthy days among adults,Sex,Female,2.7
2020,South Carolina,Depression among adults,Sex,Female,27.7
2020,Ohio,Frequent mental distress among adults,Age,Age >=65,8.7
2020,Oregon,Depression among adults,Sex,Female,27.9
2020,New York,Depression among adults,Sex,Male,14.2
2020,North Dakota,Frequent mental distress among adults,Race/Ethnicity,"White, non-Hispanic",10.8
2020,Ohio,Depression among adults,Sex,Male,16.1
2020,New York,Average mentally unhealthy days among adults,Sex,Female,2.4
2020,New York,Frequent mental distress among adults,Age,Age >=65,9.1
2020,Oklahoma,Depression among adults,Overall,Overall,23.3
2020,North Carolina,Frequent mental distress among adults,Overall,Overall,12.9
2020,Rhode Island,Depression among adults,Sex,Female,25.8
2020,Tennessee,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",13.7
2020,New York,Depression among adults,Race/Ethnicity,"Asian, non-Hispanic",8.9
2020,Puerto Rico,Depression among adults,Sex,Male,12.7
2020,Rhode Island,Depression among adults,Race/Ethnicity,"Black, non-Hispanic",14.5
2020,South Dakota,Postpartum depressive symptoms among women with a recent live birth,Race/Ethnicity,"White, non-Hispanic",10.4
2020,South Dakota,Average mentally unhealthy days among adults,Age,Age >=65,2.6
2020,North Dakota,Average mentally unhealthy days among adults,Overall,Overall,3.5
2020,Rhode Island,Average mentally unhealthy days among adults,Overall,Overall,2.4
2020,Oregon,Depression among adults,Race/Ethnicity,"Asian, non-Hispanic",16.0
2020,Oregon,Depression among adults,Age,Age 45-64,19.6
2020,Oklahoma,Depression among adults,Sex,Female,29.3
2020,Oklahoma,Average mentally unhealthy days among adults,Sex,Female,2.9
2020,Pennsylvania,Postpartum depressive symptoms among women with a recent live birth,Overall,Overall,12.9
2020,Rhode Island,Frequent mental distress among adults,Age,Age 18-44,16.6
2020,North Dakota,Average mentally unhealthy days among adults,Sex,Male,2.9
2020,Oklahoma,Frequent mental distress among adults,Age,Age 18-44,18.0
2020,Rhode Island,Average mentally unhealthy days among adults,Race/Ethnicity,"White, non-Hispanic",2.9
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,"Black, non-Hispanic",11.9
2020,Oklahoma,Frequent mental distress among adults,Race/Ethnicity,"Multiracial, non-Hispanic",23.4
2020,Ohio,Depression among adults,Overall,Overall,22.0
2020,Pennsylvania,Average mentally unhealthy days among adults,Age,Age 45-64,3.4
2020,North Dakota,Depression among adults,Sex,Female,25.3
2020,North Carolina,Frequent mental distress among adults,Race/Ethnicity,Hispanic,8.6
2020,Oregon,Average mentally unhealthy days among adults,Age,Age 45-64,3.6
2020,Ohio,Average mentally unhealthy days among adults,Age,Age 18-44,3.1
2020,Tennessee,Average mentally unhealthy days among adults,Age,Age 18-44,2.9
2020,New York,Average mentally unhealthy days among adults,Race/Ethnicity,"Asian, non-Hispanic",3.7
2020,North Dakota,Frequent mental distress among adults,Sex,Male,8.8
2020,Oklahoma,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",28.9
2020,Ohio,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",34.2
2020,Tennessee,Depression among adults,Race/Ethnicity,Hispanic,16.6
2020,Rhode Island,Depression among adults,Race/Ethnicity,"Multiracial, non-Hispanic",27.1
2020,North Carolina,Depression among adults,Sex,Female,26.1
2020,Oklahoma,Average mentally unhealthy days among adults,Overall,Overall,2.9
2020,Tennessee,Depression among adults,Age,Age 18-44,25.7
2020,Puerto Rico,Frequent mental distress among adults,Sex,Male,9.0
2020,Tennessee,Depression among adults,Race/Ethnicity,"White, non-Hispanic",26.1
2020,North Carolina,Average mentally unhealthy days among adults,Sex,Male,2.6
2020,Oregon,Depression among adults,Race/Ethnicity,Hispanic,15.6
2020,North Carolina,Depression among adults,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",31.1
2020,New York,Average mentally unhealthy days among adults,Overall,Overall,2.6
